year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2014, 1,23,  ,  ,     ,34.97000,136.96001,  24.000, 5.80,192.0,12.0, 67.0,  41, 42,  0.010,   172800.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2014, 1,11,  ,  ,     ,34.52000,136.42999,  25.000, 5.60,200.0,19.0, 75.0,  63, 35,  0.004,   172800.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2014, 1, 9,  ,  ,     ,34.45000,136.39000,  29.000, 5.60,210.0,15.0, 85.0,  18, 19,  0.023,   216000.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2014, 1, 2,  ,  ,     ,33.12000,132.22000,  32.000, 5.60,206.0,21.0, 81.0,  10, 19,  0.040,  1123200.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2013,11,13,  ,  ,     ,33.68000,133.27000,  30.000, 5.80,251.0, 7.0,126.0,  54, 18,  0.015,   518400.00,AIST-SSE,  Itaba et al. (2014b); Itaba and Ando (2011),2018-06-26
2013,10,26,  ,  ,     ,33.37000,132.49001,  32.000, 5.50,208.0,16.0, 83.0,  36, 30,  0.006,   129600.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013,10,29,  ,  ,     ,33.69000,132.69000,  29.000, 5.70,185.0,15.0, 60.0,  38, 43,  0.007,   172800.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013,10,26,  ,  ,     ,33.94000,136.11000,  23.000, 5.50,231.0,26.0,106.0,  34, 49,  0.003,   172800.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 9,29,  ,  ,     ,34.98000,137.64000,  32.000, 5.90,275.0,17.0,150.0,  39, 44,  0.011,   691200.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 9, 8,  ,  ,     ,34.93000,137.00000,  25.000, 5.80,204.0,13.0, 79.0,  82, 45,  0.004,   259200.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 8, 3,  ,  ,     ,34.90000,137.28000,  29.000, 5.70,284.0,14.0,159.0,  21, 42,  0.011,   777600.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 6,28,  ,  ,     ,34.63000,137.23000,  24.000, 5.70,293.0,12.0,168.0,  76, 50,  0.003,   432000.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 7,23,  ,  ,     ,34.47000,136.39999,  25.000, 5.80,200.0,19.0, 75.0,  52, 35,  0.008,   259200.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 6,11,  ,  ,     ,35.12000,137.11000,  32.000, 5.30,291.0,12.0,166.0,  10, 29,  0.011,   172800.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 6, 2,  ,  ,     ,33.75000,133.10001,  30.000, 5.70,227.0, 8.0,102.0,  80, 22,  0.007,   302400.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 5,28,  ,  ,     ,33.13000,132.42999,  19.000, 5.70,207.0,31.0, 82.0,  40, 50,  0.005,   216000.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 5,24,  ,  ,     ,33.37000,132.64000,  28.000, 5.90,203.0,17.0, 78.0,  22, 50,  0.017,   302400.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 5,15,  ,  ,     ,35.26000,137.78000,  39.000, 5.30,253.0,17.0,128.0,  10, 16,  0.020,   432000.00,AIST-SSE,  Itaba et al. (2014a); Itaba and Ando (2011),2018-06-26
2013, 4,10,  ,  ,     ,34.90000,136.96001,  27.000, 5.40,248.0,13.0,123.0,   9, 11,  0.045,   388800.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
2013, 4, 7,  ,  ,     ,34.96000,136.94000,  26.000, 6.00,204.0,13.0, 79.0,  83, 39,  0.008,   259200.00,AIST-SSE,  Itaba et al. (2013b); Itaba and Ando (2011),2018-06-26
