"General Policy"
"    Cite our paper indicated below (*1) when Users present their results using the data downloaded from this website in scientific papers, reports, or abstracts of meetings."
"    Follow the individual policy for each catalog."
"    Users owe any responsibility in using the data downloaded from this website."
"    Catalogs on this website can be updated or modified (for example, due to the modification of the analyzing method) without any notification of Users."
"    Specify the acknowledgement to "Science of Slow Earthquakes" (JSPS Grant-in-Aid for Scientific Research on Innovative Areas) as indicated below (*2)."
"    We strictly prohibit any commercial use of the data provided in this website."
"    Do not redistribute or share the data downloaded from this website."
"    (*1) Kano, M., Aso, N., Matsuzawa, T., Ide, S., Annoura, S., Arai, R., Baba, S., Bostock, M., Chao, K., Heki, K., Itaba, S., Ito, Y., Kamaya, N., Maeda, T., Maury, J., Nakamura, M., Nishimura, T., Obana, K., Ohta, K., Poiata, N., Rousset, B., Sugioka, H., Takagi, R., Takahashi, T., Takeo, A., Tu, Y., Uchida, N., Yamashita, Y., & Obara, K. (2018). Development of a Slow Earthquake Database, Seismological Research Letters, 89 (4), 1566-1575, https://doi.org/10.1785/0220180021."
"    (*2) Acknowledgments should be described in the following example:"
"        This research was supported by JSPS KAKENHI Grant Number JP16H06472 in Scientific Research on Innovative Areas "Science of Slow Earthquakes"."
"    If the research was conducted by the group members of our project, add each grant number of JSPS KAKENHI."
"  "
"Nishimura2021a-SSE"
"    Users cite the following paper when using the data downloaded from this website."
"      Nishimura, T. (2021). Slow slip events in the Kanto and Tokai regions of central Japan detected using global navigation satellite system data during 1994–2020. Geochemistry, Geophysics, Geosystems, 22, e2020GC009329. https://doi.org/10.1029/2020GC009329."
"    Notices:"
"      Covered Period: from July 24, 1994 to November 23, 2019."
"      The reference time indicates the centroid of the event."
"  "
year,month,day,hour,min,sec,lat,lon,dep,mag,strike,dip,rake,length,width,slip,duration,catalog,ref,udate
2008,12, 2,  ,  ,     ,36.46900,141.87199,  25.500, 6.08,206.0,17.0, 76.0,  39, 38,  0.027,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2008,12,21,  ,  ,     ,36.66100,142.28999,  19.600, 6.48,207.0,14.0, 70.0,  39, 41,  0.104,  3456000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2009, 2, 4,  ,  ,     ,35.46700,141.92000,  13.700, 6.30,186.0,15.0, 80.0,  41, 40,  0.056,   345600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2009, 3, 4,  ,  ,     ,35.47900,141.44000,  24.600, 6.06,179.0,16.0, 97.0,  41, 41,  0.024,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2009, 6,13,  ,  ,     ,36.16500,140.94000,  40.300, 5.94,195.0,20.0,114.0,  34, 41,  0.018,  1728000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2009, 7, 7,  ,  ,     ,35.93100,140.72400,  43.400, 6.04,177.0,23.0, 81.0,  42, 44,  0.019,        0.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2009, 9, 7,  ,  ,     ,36.38700,140.42900,  59.500, 6.16,197.0,25.0, 66.0,  52, 42,  0.024,  6912000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2010, 3,18,  ,  ,     ,35.81800,142.12100,  11.800, 6.28,195.0,14.0, 89.0,  39, 41,  0.053,        0.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2010, 7,31,  ,  ,     ,36.08100,140.68700,  46.400, 6.00,185.0,22.0, 91.0,  32, 34,  0.029,  3283200.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2010, 9,22,  ,  ,     ,35.52300,140.06799,  68.000, 6.09,179.0,24.0,103.0,  44, 40,  0.024,  1900800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2010,10,23,  ,  ,     ,35.03900,142.04500,   9.500, 6.21,184.0,15.0, 61.0,  41, 39,  0.041,   345600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2010,11,20,  ,  ,     ,36.56500,141.25200,  41.500, 5.84,210.0,17.0,136.0,  40, 42,  0.011,  3110400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2012, 2,21,  ,  ,     ,36.19700,140.76900,  43.900, 6.27,192.0,24.0, 68.0,  92, 33,  0.027,  1382400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2012, 5,11,  ,  ,     ,35.53300,140.77699,  42.500, 6.29,173.0,24.0, 47.0,  34, 60,  0.043,   691200.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2012, 7, 4,  ,  ,     ,36.46900,142.49899,  13.900, 6.55,213.0,13.0,108.0,  40, 40,  0.130,  6652800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2013, 1, 7,  ,  ,     ,35.46600,141.81799,  15.900, 6.33,185.0,15.0, 50.0,  45, 37,  0.059,   172800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2013, 3,13,  ,  ,     ,35.71700,140.60201,  48.800, 6.12,173.0,22.0, 81.0,  50, 39,  0.024,  4320000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2013, 4,30,  ,  ,     ,35.33100,142.05499,  10.400, 6.46,186.0,14.0, 80.0,  40, 41,  0.095,   345600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2013, 6, 9,  ,  ,     ,36.71300,141.30400,  42.500, 5.90,208.0,17.0,123.0,  39, 42,  0.014,  1209600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2013, 7,28,  ,  ,     ,35.47000,141.68900,  18.800, 6.28,183.0,16.0, 46.0,  44, 38,  0.049,  2505600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2014, 4,12,  ,  ,     ,35.30900,140.71001,  46.800, 5.89,176.0,23.0, 48.0,  39, 41,  0.014,  3283200.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2014, 8,24,  ,  ,     ,35.46000,142.33099,   5.900, 6.76,183.0,11.0, 54.0,  35, 45,  0.280,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2014,11,12,  ,  ,     ,36.72700,141.12399,  46.800, 6.12,208.0,18.0,100.0,  23, 30,  0.069,  4406400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2015, 1, 2,  ,  ,     ,35.52000,142.00800,  12.000, 6.39,187.0,14.0, 70.0,  39, 39,  0.078,  4406400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2015, 4,23,  ,  ,     ,36.92100,141.16701,  47.300, 6.06,204.0,21.0,129.0,  52, 43,  0.017,  1036800.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2015, 7,26,  ,  ,     ,35.30800,141.95799,  12.300, 6.45,185.0,15.0, 58.0,  41, 40,  0.092,        0.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2015,12, 1,  ,  ,     ,35.37900,142.00600,  11.500, 6.54,185.0,14.0, 57.0,  40, 40,  0.129,  4147200.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2016, 4,16,  ,  ,     ,36.32400,140.88800,  44.400, 5.99,200.0,20.0,116.0,  41, 47,  0.016,  4665600.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2016, 7,19,  ,  ,     ,36.05000,141.53101,  24.000, 6.27,194.0,17.0, 94.0, 119, 58,  0.012,    86400.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2016, 9, 9,  ,  ,     ,34.80700,140.83000,  43.400, 6.45,181.0,22.0, 93.0,  54, 40,  0.069,  5011200.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
2016,11, 4,  ,  ,     ,35.80600,140.82600,  39.700, 5.92,175.0,23.0, 42.0,  31, 45,  0.017,  5184000.00,Nishimura2021a-SSE,Nishimura (2021),2021-08-30
