time,lat,lon,depth,mag
18863.721282314815,0.2906,96.4971,10000.0,4.8
18862.874927164354,1.9037,98.5161,80870.0,4.7
18861.374861712964,1.8858,97.813,57110.0,4.5
18855.584061331017,-4.187,100.9304,14990.0,4.5
18854.737661458334,1.3998,97.5867,44660.0,4.5
18850.221588298613,1.2921,99.3322,10000.0,4.8
18842.081797175928,-3.4944,99.9948,10000.0,4.6
18841.95904107639,-3.1615,100.4063,10000.0,5.2
18841.95880621528,-3.2077,100.3185,10000.0,4.6
18841.950587650463,-3.2125,100.1919,20000.0,5.8
18841.85769115741,-3.262,100.1679,10000.0,4.5
18828.148924583336,1.3716,96.9575,10000.0,4.7
18822.426249050925,-4.4074,101.5733,31280.0,4.5
18818.111915520833,1.8228,96.9785,17350.0,5.4
18805.664032743054,-2.9053,101.0838,43450.0,4.7
18798.602592847223,-0.2708,97.3968,10000.0,4.6
18789.90097869213,0.1241,100.1485,40640.0,4.7
18786.64375064815,-0.4302,98.0127,10000.0,4.5
18775.047469444442,0.1852,96.4978,10000.0,4.7
18764.51524077546,0.1293,96.662,10000.0,4.8
18761.785453113425,0.0723,96.6149,20600.0,4.5
18761.38650886574,0.0636,96.6042,10000.0,4.9
18761.325371099538,0.5876,96.33,10000.0,4.5
18761.30283230324,0.1902,96.6009,10000.0,4.7
18761.283196238426,0.0136,96.5944,10000.0,4.7
18761.280066423613,-0.1198,96.6681,10000.0,4.7
18761.273007858796,0.1364,96.6442,11000.0,6.7
18758.864373321758,-1.5895,99.3257,27100.0,4.9
18752.05875278935,-1.9508,99.7877,30000.0,5.7
18749.740752592592,-2.323,99.7834,21000.0,5.5
18748.07467364583,1.3647,97.0306,35010.0,4.5
18745.48142070602,1.0487,96.5251,10000.0,4.7
18736.998872002314,0.1887,96.5564,9000.0,6.1
18731.45502792824,0.2019,96.648,7290.0,5.6
18718.183415925923,-1.1251,98.9193,10000.0,4.5
18713.429243796298,-1.9127,99.442,34250.0,4.6
18694.539285127314,-4.4237,101.0085,10000.0,5.5
18691.78912332176,-3.5477,101.6511,46080.0,4.6
18689.446823738428,-3.4719,100.517,34980.0,4.7
18676.44663337963,-4.3303,101.6424,43300.0,4.6
18673.206403969907,1.0728,98.8358,68920.0,5.0
18671.23239396991,0.4767,97.0187,10000.0,4.9
18662.649469305554,1.4273,97.7214,50730.0,4.5
18655.502352511572,-2.1082,99.6026,10000.0,4.5
18641.702046354167,1.2727,96.8714,10000.0,4.6
18627.450748229166,0.3787,97.7228,26070.0,4.9
18619.93047858796,-4.4368,101.0761,10000.0,5.2
18618.583696342594,-4.5246,101.0614,10000.0,4.6
18591.424295347224,0.4292,98.2731,15800.0,4.5
18585.757608055555,-1.4843,99.6307,53980.0,4.7
18584.19579402778,-1.8052,100.4248,20320.0,5.2
18583.072337650465,-2.6769,99.3162,10000.0,5.9
18569.70311289352,0.1745,97.7686,10000.0,4.8
18569.077142997685,0.2342,97.8943,35000.0,5.0
18556.637425648147,-3.3985,100.3206,10000.0,4.8
18556.607797569446,-3.2469,100.5198,37680.0,4.9
18555.028926342595,-3.7972,100.0692,10000.0,4.6
18554.404785636576,-3.3354,100.3183,19290.0,5.1
18554.343112280094,-3.4128,100.3722,10000.0,4.8
18554.324542569444,-3.3834,100.3424,10000.0,5.5
18554.313529502313,-3.3688,100.2689,10000.0,5.6
18553.95058158565,-3.4021,100.2732,10000.0,5.1
18552.74749853009,-3.2733,100.4042,10000.0,5.2
18552.746512418984,-3.2626,100.301,9930.0,5.2
18552.025013136576,-3.3122,100.2844,10000.0,5.1
18550.92115457176,-3.4216,100.0797,10000.0,4.5
18550.440427974536,-3.2484,100.3297,25380.0,4.9
18550.403649629632,-3.2272,100.3277,10000.0,5.2
18543.672129189814,-3.2357,101.7964,67300.0,4.6
18533.685360914355,0.0677,99.5396,96010.0,4.7
18513.192391076387,-1.14,98.4985,10000.0,5.0
18503.233120925925,-4.3464,101.0406,10140.0,4.9
18498.43370849537,-4.0266,101.0051,10000.0,5.0
18496.13733951389,-4.3256,100.9671,10000.0,4.6
18496.027474699073,-4.089,100.972,10000.0,5.5
18495.02769011574,-4.2119,100.7127,10000.0,4.5
18493.06803898148,-4.2866,101.1362,10000.0,4.6
18492.943846689817,-4.4556,100.9629,15200.0,5.0
18492.93709179398,-4.2069,101.2411,26000.0,6.9
18492.933327291667,-4.3259,101.1342,22000.0,6.8
18482.357044745368,1.0571,97.3519,35120.0,4.5
18478.993877662037,-1.7797,100.1815,48420.0,5.1
18469.91763184028,0.5464,98.5885,54100.0,4.9
18462.992178715278,-3.3916,100.1174,10000.0,4.5
18451.169315092593,1.406,97.177,35000.0,4.8
18448.40813653935,-1.1494,97.9992,10000.0,4.6
18446.366151319446,-3.3404,100.9372,38110.0,4.5
18430.06978204861,-0.6165,99.178,51370.0,4.8
18429.463714421297,-1.3661,100.5071,78510.0,4.6
18423.19119497685,-2.5659,101.156,45790.0,5.1
18419.99346565972,1.7181,97.053,11520.0,5.2
18404.942278530092,-2.4966,99.5207,10000.0,5.1
18382.347511284723,1.2211,99.5799,10000.0,5.0
18379.971006805554,1.5751,97.0459,29030.0,4.5
18330.668444074076,-1.7187,100.4116,63160.0,4.6
18325.56720519676,-3.4535,99.6222,10000.0,4.9
18316.874550104167,-1.984,99.856,10000.0,5.2
18304.246643391205,0.7902,98.9466,81220.0,4.5
18293.381614583333,-2.9219,101.0474,62540.0,5.0
18291.9118403125,-1.912,99.8976,10000.0,5.2
18282.460511990743,0.6338,99.8039,159160.0,4.7
18268.950043831017,-1.5516,99.4165,28420.0,4.6
18246.617547546295,-2.9702,100.9448,40280.0,5.6
18245.874547303243,0.4509,96.4297,36160.0,4.7
18234.20418886574,0.5676,99.8691,167240.0,4.7
18231.55352221065,1.8042,99.1131,7620.0,4.5
18224.047559074075,-0.8542,97.9753,25760.0,5.0
18223.657898599537,1.0605,98.0918,36270.0,4.5
18223.27199349537,1.7986,96.9809,16780.0,4.7
18221.93708375,-0.8943,97.9275,10000.0,5.2
18215.29646028935,-4.4498,101.777,47980.0,4.8
18214.336159085648,-1.8917,100.2621,63900.0,5.0
18212.488105497687,0.8723,97.3987,31660.0,4.9
18209.595137824075,1.9493,96.7955,29440.0,4.7
18209.135554085646,-2.9075,101.4651,10000.0,4.5
18193.032898611113,1.7089,97.0494,35000.0,4.6
18191.92438909722,-2.3811,99.8507,15030.0,5.1
18191.002713935184,-2.4464,99.7474,10000.0,4.9
18190.992413113425,-2.638,99.5867,10000.0,5.2
18185.312982372685,1.3303,97.1682,31420.0,4.6
18185.096079143517,1.3243,96.9811,10000.0,5.0
18184.789452708334,1.2136,96.9161,10000.0,4.7
18184.12517054398,-4.4307,101.1328,10000.0,5.1
18183.94042946759,-4.516,101.126,10000.0,4.7
18183.933266747685,-4.482,101.1948,19000.0,5.9
18176.77637738426,-0.3699,99.0329,76230.0,4.6
18125.57968626157,-3.4806,101.5874,58510.0,4.9
18121.776835335648,-2.9965,101.2877,50470.0,5.1
18118.88275101852,-0.7389,99.391,36690.0,5.2
18113.151220185184,-2.6894,99.8556,10000.0,4.7
18106.240731550926,-2.7532,100.1126,35000.0,5.0
18091.69929712963,-2.2249,99.8282,16890.0,4.9
18091.570189155093,-2.3891,100.3657,35000.0,4.5
18091.40841497685,-2.2736,100.8227,59260.0,4.8
18082.411489247686,-2.1536,100.6264,65370.00000000001,4.9
18082.403420613424,-3.3753,100.6487,27560.0,4.6
18064.461160127314,-0.3042,99.0252,59200.0,5.0
18050.253190324074,0.3521,97.7366,10000.0,5.5
18050.248024386572,0.3529,97.7239,15930.0,5.8
18049.127178449075,0.6521,98.4603,30360.0,5.3
18027.722704270833,-1.6646,99.941,45430.0,4.5
17971.937148611112,-3.1203,101.9712,86920.0,5.1
17966.690612500002,1.1255,98.781,75550.0,5.3
17966.560015509258,1.9161,97.8311,51760.0,5.2
17957.93784259259,1.0807,96.9479,10000.0,4.5
17955.59644675926,-2.057,99.9126,30050.0,4.8
17954.977132407406,-1.3226,101.5784,10000.0,5.4
17943.06054965278,-4.5147,101.9873,35000.0,4.7
17937.59538113426,-4.6507,101.4772,10000.0,4.6
17937.58956724537,-4.5666,101.5612,35000.0,4.6
17931.93588472222,-0.4569,97.919,10000.0,4.5
17931.812432523147,-0.4128,98.0411,17800.0,5.7
17931.28991111111,-1.1155,100.6369,87770.0,4.8
17929.86138622685,-2.8778,100.0118,10000.0,4.8
17929.565121064814,-2.9395,99.8954,10000.0,4.6
17929.548849537037,-2.9676,100.0958,10000.0,5.1
17929.463878009257,-2.7179,100.1812,10000.0,4.5
17929.459476041666,-2.7308,100.3019,10000.0,5.8
17929.457989583334,-2.8834,100.1329,18000.0,6.0
17929.424377777777,-2.8385,100.0637,10000.0,4.7
17929.415409259258,-2.876,100.0594,10000.0,5.3
17929.402744791667,-2.6743,100.2937,10000.0,4.9
17929.39416701389,-2.8458,100.0764,20000.0,6.1
17929.37719722222,-2.8247,100.0072,10000.0,5.4
17928.803074305553,-2.8933,100.0597,10000.0,4.9
17923.192389583335,1.6778,95.0403,10000.0,4.8
17922.691793171296,1.8681,97.8895,54300.0,4.9
17910.99992361111,1.7028,99.0705,15030.0,4.9
17907.795476620373,-3.3931,101.2768,39000.0,5.4
17897.85042048611,-2.4525,99.6762,10000.0,5.1
17894.675084953702,-2.2703,99.8079,18950.0,4.8
17894.34949722222,0.8165,97.3861,25880.0,4.7
17894.344057175924,1.0774,97.3382,25910.0,5.2
17888.586074884257,-0.4765,99.732,98030.0,5.0
17887.90735162037,-0.3399,99.2254,67090.0,4.9
17880.15078113426,-3.5353,101.5546,51150.0,4.5
17876.722399537037,-1.5399,98.7622,27670.0,5.2
17876.53305671296,1.2963,97.0545,20910.0,5.0
17873.740185069444,-3.5278,101.5139,41600.0,5.2
17873.168196064817,-4.0764,101.58,44880.0,4.8
17872.586799652778,-3.3255,101.8314,37080.0,4.5
17872.161939930553,0.2599,97.0933,10000.0,4.6
17869.94290023148,0.2563,97.0517,10000.0,4.8
17869.937497800925,0.3226,97.1598,10000.0,5.1
17866.76032824074,0.2942,97.1157,22610.0,4.6
17866.643504166666,0.3114,97.1848,28590.0,4.5
17865.617722916668,-2.9669,100.9286,25720.0,4.8
17865.11422893519,0.2674,97.141,10000.0,4.7
17864.84843310185,0.2246,96.9977,9440.0,5.8
17864.845995833333,0.3308,97.3529,10000.0,4.6
17863.714443055556,1.5799,99.5189,174520.0,4.6
17852.44569837963,0.8607,98.6135,70970.0,4.7
17838.665661921295,-3.8056,101.7751,51130.0,5.2
17836.040222685184,1.0272,96.8396,10000.0,4.7
17822.925203703704,1.887,99.022,122170.0,4.9
17808.769215856482,-4.6372,101.8232,23660.0,4.7
17802.622333101852,1.1207,95.75,10000.0,4.5
17802.389339699075,0.8729,97.0153,35000.0,4.6
17797.45662002315,0.849,98.6214,65239.99999999999,4.6
17780.00960775463,0.821,96.8947,10000.0,5.4
17763.820037037036,-3.3676,100.6979,33200.0,4.5
17763.452148032407,0.9847,97.3622,28460.0,5.2
17762.897830324073,1.936,98.1239,66800.0,4.6
17762.279908333334,-3.7515,100.7001,35000.0,4.7
17762.18230659722,-0.7115,99.7892,81100.0,5.2
17759.13221145833,0.4522,98.215,35000.0,5.0
17748.468633796296,-1.6608,99.9721,36990.0,4.5
17748.410771180555,-2.2991,99.4763,34140.0,5.0
17748.402974421297,-2.2513,99.3967,33240.0,4.5
17748.37248900463,-2.3647,99.4208,10000.0,5.3
17743.85344340278,-1.829,100.3676,57500.0,4.9
17742.905832870372,0.125,96.591,10000.0,4.7
17742.565602199073,0.5973,98.2642,35000.0,4.9
17740.860099305555,-2.2298,100.7614,64450.0,4.5
17738.633881712965,-1.9093,99.6113,19850.0,4.5
17733.332128703703,-0.9768,100.7691,10000.0,5.2
17732.832027430555,-1.7104,99.8461,15710.0,5.2
17715.58754976852,1.1288,99.1988,97730.0,4.7
17709.485182060187,1.2691,97.0479,26260.0,4.8
17708.903316435186,-1.8661,100.3267,55080.0,4.6
17707.265463078704,-2.8202,100.1566,50490.0,4.9
17700.408523726852,-2.4727,99.8334,29040.0,4.9
17697.882813657405,1.1886,99.7231,171730.0,4.5
17695.96263136574,-1.8316,98.6279,10000.0,4.9
17695.29098912037,-1.9145,98.6568,10000.0,5.4
17695.088856944443,-1.9281,98.6717,10000.0,5.4
17694.990415972225,-1.9469,98.6868,10000.0,5.6
17694.964216550925,-2.0196,98.5876,9000.0,5.9
