Region_name Time_period Cluster_id Centroid_Lon(deg) Centroid_Lat(deg) Starting_time(year) Starting_time(month) Starting_time(day) Max_magnitude Median_inter-event_time(day) Duration(day) Number_of_events
VANUATU3 1995-1999 cluster_5 168.231 -18.2703 1998 6 18 6.1 1.220459 31.76721 8
VANUATU4 1995-1999 cluster_1 166.97 -13.9976 1998 7 6 5.3 13.34802 143.3516 10
VANUATU4 1995-1999 cluster_2 166.695 -14.0838 1996 11 26 5.4 7.3303223E-02 150.3398 13
VANUATU4 1995-1999 cluster_3 167.862 -15.499 1999 2 14 6. 13.81091 54.98071 5
VANUATU4 1995-1999 cluster_4 167.548 -15.3823 1998 1 14 5.3 18.51257 89.74841 6
VANUATU5 1995-1999 cluster_1 166.431 -13.5122 1997 3 5 6.2 5.3710938E-03 46.94678 6
VANUATU6 1995-1999 cluster_1 161.403 -10.7002 1996 1 7 4.9 0.2175903 1.017944 5
VANUATU6 1995-1999 cluster_2 165.377 -11.168 1999 12 28 6.2 0.1551514 0.9567871 5
NEW_BRITAIN1 1995-1999 cluster_1 155.235 -6.6174 1997 11 14 5.3 2.262878 12.45593 5
NEW_BRITAIN2 1995-1999 cluster_10 153.898 -5.26143 1996 8 27 4.8 15.40503 92.83289 7
NEW_BRITAIN2 1995-1999 cluster_3 151.896 -5.59283 1998 8 26 5.5 1.250977 11.89062 6
NEW_BRITAIN2 1995-1999 cluster_4 152.068 -5.44314 1997 11 30 5.4 2.019409 32.60681 7
NEW_BRITAIN2 1995-1999 cluster_5 152.656 -5.37407 1999 4 20 6.6 0.6690674 47.19263 15
NEW_BRITAIN2 1995-1999 cluster_8 153.535 -4.5281 1998 12 14 7. 0.6359863 45.03467 20
NEW_BRITAIN2 1995-1999 cluster_9 153.661 -4.50764 1997 6 10 5.2 4.610718 103.4076 11
SERAM 1995-1999 cluster_1 131.284 -3.74083 1998 12 24 5.6 12.09644 93.06152 6
MALUKU 1995-1999 cluster_1 127.566 1.6506 1998 11 12 5.1 10.08398 66.79150 5
MALUKU 1995-1999 cluster_2 126.874 1.53086 1998 9 2 5.3 7.179565 50.96167 7
MALUKU 1995-1999 cluster_3 126.447 1.23133 1998 10 28 5.5 0.8930664 52.41528 12
MALUKU 1995-1999 cluster_4 126.131 0.768 1998 10 28 4.9 0.8095703 8.748291 5
MALUKU 1995-1999 cluster_5 126.212 0.5922 1999 11 18 6. 1.288452 10.98242 5
SOUTH_SANDWICH1 1995-1999 cluster_1 334.541 -56.6416 1998 10 3 5.8 0.1789551 1.315918 8
SOUTH_SANDWICH1 1995-1999 cluster_2 332.17 -55.401 1995 4 17 5.3 0.9826660 146.3365 8
SOUTH_SANDWICH1 1995-1999 cluster_3 331.947 -55.6295 1996 2 5 4.9 41.29224 174.6740 6
SOUTH_SANDWICH2 1995-1999 cluster_1 334.323 -58.8595 1997 12 17 5.3 17.00732 111.0063 6
SOUTH_SANDWICH2 1995-1999 cluster_2 334.525 -57.9295 1997 3 15 6.1 10.94666 79.69983 8
SOUTH_SANDWICH2 1995-1999 cluster_4 333.476 -56.4982 1995 6 25 5.2 16.98056 121.1807 5
CENTRAL_CHILE4 2000-2004 cluster_3 288.584 -27.879 2000 10 22 5.6 20.99237 127.9459 5
NICARAGUA 2000-2004 cluster_1 271.676 12.079 2000 4 24 4.9 25.47217 321.7391 9
NICARAGUA 2000-2004 cluster_2 273.399 11.3419 2000 9 27 4.7 24.48944 170.4678 8
NICARAGUA 2000-2004 cluster_3 273.871 11.8564 2000 7 6 5.4 0.1113281 1.200623 7
GUATEMALA 2000-2004 cluster_1 265.91 14.946 2003 8 22 5.2 41.71704 373.3987 9
GUATEMALA 2000-2004 cluster_2 266.913 14.2864 2003 11 9 5.5 63.48035 269.6448 5
GUATEMALA 2000-2004 cluster_3 267.748 13.967 2004 2 25 5.9 0.1630859 23.12939 7
MEXICO1 2000-2004 cluster_1 264.205 15.7082 2002 7 6 5.5 48.37439 168.3275 5
MEXICO3 2000-2004 cluster_1 260.156 16.8793 2001 10 29 5.1 21.71362 242.5315 9
ALEUTIAN2 2000-2004 cluster_1 191.302 52.2972 2002 12 11 5.3 0.2001343 21.22461 5
ALEUTIAN2 2000-2004 cluster_2 196.865 53.6046 2003 11 27 5.7 32.55798 121.6326 5
ALEUTIAN4 2000-2004 cluster_1 185.065 51.3992 2001 10 23 5.6 1.3610840E-02 5.674194 9
ALEUTIAN5 2000-2004 cluster_2 185.647 51.5264 2000 3 24 4.9 20.26047 111.1647 5
ALEUTIAN5 2000-2004 cluster_3 186.787 51.4983 2002 3 15 5.9 3.0151367E-02 1.554199 6
ALEUTIAN7 2000-2004 cluster_1 179.466 51.1268 2002 2 14 4.8 3.6621094E-04 2.1606445E-02 5
KAMCHATKA1 2000-2004 cluster_1 160.17 52.3105 2002 5 3 5.5 0.2352295 10.56067 10
KAMCHATKA1 2000-2004 cluster_2 160.356 52.6038 2001 10 5 6.5 0.4055786 3.075073 5
KAMCHATKA1 2000-2004 cluster_3 162.556 55.1161 2004 6 26 4.6 5.0781250E-02 0.6191406 10
KAMCHATKA3 2000-2004 cluster_1 156.22 48.8096 2004 12 18 6.2 4.1137695E-02 0.2009277 5
KAMCHATKA3 2000-2004 cluster_2 156.147 49.264 2003 3 5 5.4 3.341370 69.62866 11
KAMCHATKA3 2000-2004 cluster_3 156.149 49.1906 2001 3 13 5.3 3.124390 36.07141 9
KAMCHATKA3 2000-2004 cluster_4 156.22 49.2076 2001 11 17 5.1 5.204285 32.93713 5
KAMCHATKA4 2000-2004 cluster_1 154.118 47.0504 2003 12 30 5.9 3.8818359E-02 0.7458496 10
KAMCHATKA4 2000-2004 cluster_2 154.084 47.3076 2000 11 9 5.1 0.9801025 36.41638 5
KAMCHATKA4 2000-2004 cluster_3 154.006 47.2792 2003 12 30 4.9 0.8067627 10.68286 5
KAMCHATKA4 2000-2004 cluster_4 155.236 48.6998 2000 2 14 5. 39.45541 157.4418 5
KURILE1 2000-2004 cluster_1 149.919 45.5394 2000 10 31 5.1 28.44513 238.5963 5
KURILE2 2000-2004 cluster_2 150.257 44.7515 2003 9 27 5.6 0.4729004 124.7610 12
KURILE2 2000-2004 cluster_4 151.914 45.5694 2001 6 20 5.7 4.5349121E-02 1.096924 5
KURILE3 2000-2004 cluster_1 146.717 42.9954 2000 7 26 5.8 9.334290 38.66003 5
KURILE3 2000-2004 cluster_3 149.449 43.9936 2001 11 2 4.9 88.83673 355.1793 5
HOKKAIDO 2000-2004 cluster_1 143.785 42.4298 2003 9 10 5.5 2.9296875E-02 15.12012 6
NORTHERN_JAPAN_TRENCH 2000-2004 cluster_1 143.376 40.3369 2000 4 25 5.4 0.8893433 13.12402 8
SOUTHERN_JAPAN_TRENCH 2000-2004 cluster_1 141.142 35.0787 2004 5 13 5.4 1.4160156E-02 99.53442 9
SOUTHERN_JAPAN_TRENCH 2000-2004 cluster_2 141.739 36.175 2002 6 19 5.3 0.2258301 20.41797 6
IZU_BONIN3 2000-2004 cluster_1 141.848 27.7 2001 5 8 5.9 59.74640 275.3203 5
IZU_BONIN3 2000-2004 cluster_2 142.844 28.1033 2003 7 28 4.8 12.09839 107.8462 9
IZU_BONIN3 2000-2004 cluster_3 142.771 28.2423 2003 4 6 5.6 1.234985 65.82715 8
MARIANA2 2000-2004 cluster_1 147.019 18.8447 2001 5 13 6. 9.4604492E-03 33.23584 13
MARIANA2 2000-2004 cluster_2 146.603 21.145 2003 8 14 5. 0.1103516 1.001221 5
